n=922=2 * 461, d=132
n=922=2 * 461, d=308
n=922=2 * 461, d=924
n=926=2 * 463, d=32
n=926=2 * 463, d=928
n=930=2 * 3 * 5 * 31, d=20
n=930=2 * 3 * 5 * 31, d=24
n=930=2 * 3 * 5 * 31, d=52
n=930=2 * 3 * 5 * 31, d=64
n=934=2 * 467, d=8
n=934=2 * 467, d=24
n=934=2 * 467, d=72
n=934=2 * 467, d=104
n=934=2 * 467, d=312
n=934=2 * 467, d=936
n=938=2 * 7 * 67, d=8
n=938=2 * 7 * 67, d=24
n=938=2 * 7 * 67, d=16
n=938=2 * 7 * 67, d=136
n=942=2 * 3 * 157, d=20
n=942=2 * 3 * 157, d=316
n=946=2 * 11 * 43, d=8
n=946=2 * 11 * 43, d=24
n=946=2 * 11 * 43, d=30
n=946=2 * 11 * 43, d=88
n=958=2 * 479, d=64
n=958=2 * 479, d=192
n=958=2 * 479, d=320
n=958=2 * 479, d=960
n=962=2 * 13 * 37, d=28
n=962=2 * 13 * 37, d=76
n=966=2 * 3 * 7 * 23, d=8
n=966=2 * 3 * 7 * 23, d=24
n=966=2 * 3 * 7 * 23, d=16
n=966=2 * 3 * 7 * 23, d=48
n=970=2 * 5 * 97, d=28
n=970=2 * 5 * 97, d=196
n=974=2 * 487, d=16
n=974=2 * 487, d=976
n=978=2 * 3 * 163, d=8
n=978=2 * 3 * 163, d=328
n=982=2 * 491, d=8
n=982=2 * 491, d=24
n=982=2 * 491, d=328
n=982=2 * 491, d=984
n=986=2 * 17 * 29, d=12
n=986=2 * 17 * 29, d=20
n=986=2 * 17 * 29, d=24
n=986=2 * 17 * 29, d=36
n=986=2 * 17 * 29, d=60
n=994=2 * 7 * 71, d=16
n=994=2 * 7 * 71, d=30
n=994=2 * 7 * 71, d=48
n=994=2 * 7 * 71, d=144
n=998=2 * 499, d=8
n=998=2 * 499, d=40
n=998=2 * 499, d=200
n=998=2 * 499, d=1000
